format	trial	phase	wall_s	maxrss_mb	user_s	sys_s	minor_faults	major_faults	gaf_lines	bin_bytes	bin_records	cov_md5	stderr_warns	gafpack_total_entries
lite	1	find_mems	21.83	609	21.35	0.42	43500	8	-	-	-	-	-	-
lite	1	gafpack_cov_raw	1.72	231	1.57	0.13	15007	38	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	6546374
lite	1	gafpack_cov_only	1.77	426	1.60	0.15	27495	0	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	4953489
lite	1	gafpack_cov_gaf	2.54	428	2.30	0.21	27604	0	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	4953489
lite	2	find_mems	22.11	620	21.59	0.42	44566	8	-	-	-	-	-	-
lite	2	gafpack_cov_raw	1.59	215	1.45	0.12	13971	39	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	6546374
lite	2	gafpack_cov_only	1.64	422	1.49	0.13	27241	0	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	4953489
lite	2	gafpack_cov_gaf	2.49	438	2.26	0.21	28250	0	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	4953489
lite	3	find_mems	22.33	566	21.71	0.48	44848	8	-	-	-	-	-	-
lite	3	gafpack_cov_raw	1.71	231	1.56	0.14	14975	39	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	6546374
lite	3	gafpack_cov_only	1.87	443	1.69	0.16	28568	0	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	4953489
lite	3	gafpack_cov_gaf	2.55	421	2.30	0.21	27386	0	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	4953489
lite	4	find_mems	21.78	570	21.27	0.43	44770	8	-	-	-	-	-	-
lite	4	gafpack_cov_raw	1.59	234	1.45	0.13	15180	39	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	6546374
lite	4	gafpack_cov_only	1.76	432	1.57	0.16	28507	0	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	4953489
lite	4	gafpack_cov_gaf	2.43	426	2.19	0.20	27530	0	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	4953489
lite	5	find_mems	19.92	543	19.49	0.39	42986	8	-	-	-	-	-	-
lite	5	gafpack_cov_raw	1.57	228	1.43	0.13	14754	39	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	6546374
lite	5	gafpack_cov_only	1.68	421	1.52	0.15	27172	0	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	4953489
lite	5	gafpack_cov_gaf	2.41	412	2.19	0.20	26653	0	4953490	104741984	6546374	0bf18bff6bcfe1e0f0452d7cf2dbefe5	0	4953489
